date,unit,production_tpd,load_pct,ambient_temp_c,process_pressure_bar,energy_mwh,gas_knm3,synthetic_event,energy_intensity_kwh_t,gas_intensity_nm3_t,estimated_energy_cost,estimated_gas_cost
2024-01-01,Blast Furnace,5165.488551867685,81.26722204038892,19.66298026897636,7.432113723368159,1244.392068905995,642.0384817693769,1,240.9050095476565,124.29385436102363,808854.8447888969,577834.6335924391
2024-01-02,Blast Furnace,5088.062123961756,81.56628694999013,20.825150963283164,7.582860428624641,941.3886373646328,512.0128439209492,0,185.01909261902492,100.63022648832693,611902.6142870113,460811.55952885427
2024-01-03,Blast Furnace,5367.468405842729,79.84242614934422,16.78889668958742,7.365860256704303,836.9472588811954,485.70068775864524,0,155.92961068390096,90.48971526873606,544015.7182727769,437130.6189827807
2024-01-04,Blast Furnace,4875.553454429037,80.24315491908911,19.904974138965727,7.183580240512824,929.7167417873712,505.036926132889,0,190.68947771309954,103.58555820449568,604315.8821617913,454533.2335196001
2024-01-05,Blast Furnace,5116.256078404797,79.21236160623394,18.512467680595567,7.435130041314213,1258.6624634632235,563.7426696590195,1,246.01240519916726,110.18656240420033,818130.6012510953,507368.40269311756
2024-01-06,Blast Furnace,5000.781475085694,80.41642530062916,20.422951786750573,7.378115539890177,954.9607885001966,522.160273115419,0,190.96231124233083,104.41573496399805,620724.5125251277,469944.24580387713
2024-01-07,Blast Furnace,5148.131437690793,80.77868838198945,19.189820683368918,7.863566579670317,948.2712353855939,490.3441918973391,0,184.19716879080758,95.2470226978673,616376.303000636,441309.7727076052
2024-01-08,Blast Furnace,5038.302543419,79.75489670989775,21.611998152559448,7.5489194371721275,990.673588647726,528.5345046913951,0,196.6284438281178,104.90328838663403,643937.8326210219,475681.0542222556
2024-01-09,Blast Furnace,5207.602683742899,79.45927571344527,20.65209323853506,7.379487561532983,941.4003165807985,506.57473503824707,0,180.77422064468612,97.27599546326235,611910.205777519,455917.26153442234
2024-01-10,Blast Furnace,5384.968618518791,77.71803117690965,19.034850503397863,7.646766653682107,872.0614675726961,492.83001578060095,0,161.94364895158265,91.51957062215166,566839.9539222524,443547.01420254086
2024-01-11,Blast Furnace,5325.053993710776,82.61209589075945,19.92035302007437,7.516468047393424,942.5208859671495,523.9908680996156,0,176.99743271717546,98.4010432041594,612638.5758786472,471591.781289654
2024-01-12,Blast Furnace,5175.713993504111,81.42542803783805,20.338001481172682,7.536821791975413,927.1402777659631,509.3420666815689,0,179.1328266843164,98.41001015914507,602641.180547876,458407.860013412
2024-01-13,Blast Furnace,5015.539811316324,81.80704389825213,20.55988794905549,7.668388851032236,950.9607853457779,521.7005685342345,0,189.6028784778401,104.0168333141622,618124.5104747557,469530.5116808111
2024-01-14,Blast Furnace,4906.930967532929,76.69645373484421,21.277221583296583,7.291903424201818,911.9005234994767,505.1590692224175,0,185.83928111749154,102.94806928502557,592735.3402746598,454643.16230017575
